City,State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Average AQI(2024),Latitude,Longitude
Sawai Madhopur,Rajasthan,62.3,46,53.8,42.8,43.9,40.7,15.8,19.9,23.2,33.8,80.2,31.4,41.15,26.1137182,76.4240637
Jabalpur,Madhya Pradesh,74,46.3,47.3,37.4,35.7,30.5,17.1,13.5,19.9,48.3,73.4,52.1,41.29166667,23.1701522,79.9324505
Ajmer,Rajasthan,56.3,37.7,44,37.7,49.3,39.5,29.2,28.5,29,39.7,49,53.4,41.10833333,26.4691,74.639
Alwar,Rajasthan,63.9,40,36.6,41.9,51.8,45.1,29.8,19,22.2,35.7,59.2,47.8,41.08333333,27.4140048,76.6170387
Nanded,Maharashtra,60.5,48.3,65.5,48.5,38,18.2,15.5,16.5,18,38.8,66.9,45.2,39.99166667,19.0940088,77.4831922
Jalore,Rajasthan,77.6,44.8,32.8,28.9,29.9,26.6,24.6,13.6,20.6,40.2,60.1,89.8,40.79166667,25.2718629,72.4388121
Moradabad,Uttar Pradesh,63.1,39.7,39.6,33.9,38.7,29.9,21.3,18.7,23,60.2,70.8,52.4,40.94166667,28.8796553,78.8095335
Kohima,Nagaland,48.8,63.9,61.1,66.7,39.4,32.8,17.6,17.5,23.8,42.1,34.5,35.4,40.3,25.6618755,94.1019156
Nagaur,Rajasthan,81.6,46.2,27.3,28.4,26.2,30.9,17.7,11.9,17.5,37.3,73.6,82,40.05,26.9873443,73.7389011
Sasaram,Bihar,97.4,45.5,32.3,21.9,16.3,33.7,21.4,6.5,8.1,16.8,80.2,94.6,39.55833333,24.9509656,84.0148733
Belapur,Maharashtra,52.8,54,45.3,46.7,34.3,22.6,17.7,22.1,27.9,33.8,65.6,57.9,40.05833333,19.6197639,74.6599008
Jaisalmer,Rajasthan,95.5,41.8,26.9,26.5,38.8,27.1,22,11.6,18.9,32.8,53.5,80.2,39.63333333,26.9116615,70.9124888
Lonavla,Maharashtra,65.2,42.7,30,29.8,27.7,13.6,14.7,12.7,18.6,43.9,93.2,78.4,39.20833333,18.7618607,73.4038888
Latur,Maharashtra,63.2,54.8,56.1,47.1,35.6,16.8,13.1,12.9,18.4,29.1,75.6,53.2,39.65833333,18.3553347,76.7548997
Thane,Maharashtra,69.5,57.9,45,36.5,28.7,17.6,13.9,13.1,18.7,43.2,69.5,59.5,39.425,19.1943294,72.9701779
Siliguri,West Bengal,71.9,66.7,57.9,45.9,32.2,22.4,19.5,19.8,22,29.1,33.6,55.6,39.71666667,26.7164127,88.4309916
Gandhinagar,Gujarat,50.8,41.8,54,34.3,28.6,29.2,27.7,20.7,25.1,41.8,60.4,56,39.2,23.2232877,72.6492267
Tensa,Odisha,56.4,43.2,44.6,45.1,31.3,32.9,16.7,19.1,24.7,40,54.4,60,39.03333333,21.8782061,85.1842998
Katni,Madhya Pradesh,61.7,51.5,38.7,36,32,26.1,19.1,17.2,18.4,32,74,65.8,39.375,23.7176393,80.2610181
Imphal,Manipur,45.8,41.4,41,34.7,21.5,16.9,4,6.7,17.5,174.9,15.2,29.2,37.4,24.7991162,93.9364419
Ahmadnagar,Maharashtra,47.8,51.2,47.4,42.4,37.8,30.4,23.3,17.8,21,34.7,55.3,45.5,37.88333333,19.074352,74.7219979
Solapur,Maharashtra,58,61.3,61.3,48.4,37.1,20.6,16.1,17.5,20.6,28.1,57.7,38.3,38.75,17.8499067,75.2763203
Amaravati,Andhra Pradesh,67,49,53.6,40.2,33,19.3,12.5,12.9,18.3,41.1,61.6,52.8,38.44166667,16.5096679,80.5184535
Nashik,Maharashtra,55.8,40.8,35.8,35.1,32.4,21,17.4,20,19.1,37.7,80.8,63.4,38.275,20.0112475,73.7902364
Chittoor,Andhra Pradesh,35.2,33.8,38.3,43.5,41.8,28.8,35.3,25.7,31.2,37.1,48.1,47,37.15,13.2026484,79.0032253
Palwal,Haryana,37,44.4,40.3,41,44,36.2,21.4,21.6,19.2,44.8,64,32.4,37.19166667,28.0599426,77.3223422
Navi Mumbai,Maharashtra,64.4,62.4,48.7,41.3,34.5,16,13.7,14.1,16.1,31,59,49.6,37.56666667,19.0308262,73.0198537
Ratlam,Madhya Pradesh,50.1,40.6,35,38.3,31.9,24.8,19,15.3,21.3,50,61.9,57,37.1,23.50222,74.9551534
Kishanganj,Bihar,42.3,48.7,52.6,53.3,30.8,17.9,12.3,12.9,16.7,20.3,54.8,58.9,35.125,26.2984144,87.9466715
Akola,Maharashtra,58.8,60.3,44.1,33.2,33.1,21.2,16.8,16.3,16.5,35.7,60,45.5,36.79166667,20.7618122,77.1921157
Jodhpur,Rajasthan,68.7,39.9,28.1,26.5,23.3,20.8,16.8,11.3,16.8,38.6,72.8,76,36.63333333,26.2967719,73.0351433
Chhal,Chhattisgarh,47.1,39.2,46.8,48.5,41.9,30.4,12.5,21.5,27.1,46.6,40.4,32.9,36.24166667,22.0966151,83.1119426
Haldia,West Bengal,62.2,41.2,24.9,25.7,10.6,15.8,14.2,17.6,18.8,34.6,76.8,93.5,36.325,22.028124,88.0632655
